date,air_co,air_no2,air_o3,air_pm_10,air_pm_25,air_so2,electricity_exports,electricity_local,electricity_local_commercial,electricity_local_domestic,electricity_losses,electricity_total,ipi_abs_index,ipi_growth_mom_index,ipi_growth_yoy_index,ipi_abs_index_sa,ipi_growth_mom_index_sa,ipi_growth_yoy_index_sa
1/1/2018,0.671,0.0078,0.015,19.14,11.43,0.001,109.82,11845.90025,9390.080801,2455.81945,1200.383806,13156.10406,113.447,1.264,4.838,109.866,0.013,3.963
1/2/2018,0.677,0.0069,0.024,26.06,16.75,0.0011,101.5,11091.95701,8561.415143,2530.541863,903.8396245,12097.29663,101.82,-10.249,2.344,110.83,0.877,2.625
1/3/2018,0.654,0.0074,0.019,24.84,15.61,0.001,103.785,12244.08995,9659.320215,2584.769732,1681.104546,14028.97949,112.27,10.264,2.921,111.09,0.235,3.328
1/4/2018,0.682,0.0075,0.019,25.64,16.34,0.001,102.002,12018.58458,9340.784017,2677.80056,1484.235112,13604.82169,108.986,-2.925,4.977,113.036,1.752,5.918
1/5/2018,0.671,0.0076,0.017,22.6,14.54,0.001,142.261,12267.99839,9525.937602,2742.060788,1524.423335,13934.68272,111.631,2.426,3.502,112.183,-0.755,4.32
1/6/2018,0.648,0.0074,0.017,25.88,17.28,0.0011,141.659,11718.32775,9090.549881,2627.777866,1487.7205,13347.70725,111.803,0.154,2.09,112.025,-0.141,2.768
1/7/2018,0.653,0.0096,0.018,30.29,20.63,0.0011,138.707,12549.89114,9804.79035,2745.100789,1563.615043,14252.21318,113.269,1.312,2.702,113.033,0.9,2.937
1/8/2018,0.655,0.0077,0.02,36.47,25.84,0.0011,139.507,12523.89761,9839.948203,2683.949408,1679.493319,14342.89793,112.342,-0.818,1.93,112.136,-0.794,1.217
1/9/2018,0.615,0.0079,0.017,26.97,18.21,0.001,137.718,11959.07838,9395.259806,2563.818575,1262.255509,13359.05189,112.364,0.019,2.619,112.151,0.013,1.971
1/10/2018,0.632,0.0076,0.016,22.22,14.5,0.001,132.991,12524.42786,9939.990991,2584.436869,1424.946917,14082.36578,117.756,4.799,4.371,113.634,1.322,4.092
1/11/2018,0.636,0.0074,0.016,20.03,12.33,0.001,126.182,12068.57475,9530.094916,2538.479838,1356.23648,13550.99323,114.258,-2.971,2.16,112.486,-1.01,1.518
1/12/2018,0.626,0.007,0.015,18.89,11.54,0.0009,132.36,12375.38621,9695.1312,2680.255015,1222.828793,13730.57501,115.97,1.499,3.517,112.405,-0.072,2.324
