country,date,air_co,air_no2,air_o3,air_pm_10,air_pm_25,air_so2,electricity_exports,electricity_local,electricity_local_commercial,electricity_local_domestic,electricity_losses,electricity_total,ipi_abs_index,ipi_growth_mom_index,ipi_growth_yoy_index,ipi_abs_index_sa,ipi_growth_mom_index_sa,ipi_growth_yoy_index_sa,car_registration
singapore,1/1/2023,0.651,21.1,23.64,41.62,22.8,6.177,20.25,700.7,387.55,312.08,54.64,775.59,119.308,-7.533,-2.946,112.791,-10.215,-5.236,3135
singapore,1/2/2023,0.643,23.58,21.72,47.69,23.52,5.8,22.39,719.98,397.46,328.75,57.46,799.83,106.273,-10.926,-9.421,118.073,4.683,-6.699,4148
singapore,1/3/2023,0.666,22.27,28.93,34.25,22.45,6.716,23.76,729.72,407.09,321.76,57.93,811.41,128.638,21.045,-4.179,117.811,-0.222,-7.477,5513
singapore,1/4/2023,0.657,24.07,30.47,41.79,20.23,5.275,23.93,738.21,411.84,324.44,58.99,821.13,118.521,-7.865,-7.076,119.775,1.668,-6.399,3360
singapore,1/5/2023,0.495,21.18,31.98,35.64,15.41,5.528,19.76,746.62,415.21,335.83,62.35,828.73,112.167,-5.361,-10.883,117.592,-1.823,-9.375,3883
singapore,1/6/2023,0.42,19.66,35.22,30.43,14.87,5.549,19.57,734.06,408.41,324.88,52.15,805.78,122.089,8.846,-6.772,118.691,0.934,-8.703,3873
singapore,1/7/2023,0.453,17.18,35.11,28.54,13.11,3.743,17.85,705.06,392.77,312,55.19,778.1,121.816,-0.224,-0.542,117.211,-1.246,-2.367,3949
singapore,1/8/2023,0.389,19.36,32.61,21.05,11.4,3.61,16.46,677.83,383.27,300.27,48.84,743.13,107.729,-11.564,-12.865,118.197,0.841,-8.562,4212
singapore,1/9/2023,0.343,15.98,26.04,27.23,13.23,3.885,19.65,648.85,364.15,282.91,50.16,718.66,125.047,16.076,-1.227,121.567,2.851,-1.722,4026
singapore,1/10/2023,0.446,14.9,24.14,31.75,16.11,3.963,17.97,664.2,374.54,286.86,53.36,735.53,131.925,5.5,6.774,124.818,2.675,3.853,4124
singapore,1/11/2023,0.47,19.15,23.33,39.06,21.54,4.086,16.55,657.48,361.37,290.69,52.41,726.44,117.483,-10.947,0.121,125.468,0.52,2.591,3892
singapore,1/12/2023,0.546,18.07,23.96,37.11,20.64,5.355,21.31,699.26,402.2,291.79,51.96,772.53,126.996,8.097,-1.574,121.798,-2.925,-3.045,6766
singapore,1/1/2024,0.638,22.23,21.99,39.31,22.72,5.436,24.62,714.3,396.26,324.93,54.75,793.67,120.915,-4.788,1.347,119.836,-1.611,6.247,3927
singapore,1/2/2024,0.554,20.48,24.88,41.49,22.85,6.353,24.11,718.03,396.43,326.29,59.29,801.43,111.598,-7.705,5.011,116.756,-2.57,-1.115,3825
singapore,1/3/2024,0.547,22.01,26.07,44.86,18.61,5.787,20.72,729.97,405.27,322.12,57.44,808.13,117.755,5.517,-8.46,115.533,-1.047,-1.933,5812
singapore,1/4/2024,0.553,23.81,28.85,40.31,20.65,6.456,21.91,767.64,424.82,340.25,59.25,848.8,117.246,-0.432,-1.076,116.772,1.073,-2.507,5251
singapore,1/5/2024,0.456,23.19,34.96,33.79,18.36,4.98,23.46,740.18,413.75,323.85,57.81,821.45,115.316,-1.646,2.807,116.87,0.084,-0.614,4875
singapore,1/6/2024,0.447,20.35,36.71,32.87,20.63,4.544,19.01,760.2,412.14,328.8,54.58,833.79,118.048,2.369,-3.31,119.618,2.352,0.782,5616
singapore,1/7/2024,0.328,17.91,32.9,28.56,13.41,4.465,19.23,716.85,394.73,319.27,58.11,794.19,125.491,6.305,3.017,125.261,4.717,6.867,5935
singapore,1/8/2024,0.28,16.13,32.76,29.91,13.61,3.344,18.6,670.88,374.27,290.93,53.33,742.81,132.243,5.38,22.755,131.438,4.932,11.202,5803
singapore,1/9/2024,0.44,13.78,28.44,25.78,13.49,3.937,15.61,656.38,355.55,296.06,47.05,719.04,136.58,3.28,9.223,134.117,2.038,10.324,6132
singapore,1/10/2024,0.408,15.41,23.47,29.69,12.96,4.687,17.28,636.41,344.85,288.3,51.55,705.24,133.529,-2.234,1.216,133.444,-0.502,6.911,5153
singapore,1/11/2024,0.496,17.23,23.39,33.45,20.05,4.063,13.58,652.9,359.55,294.93,50.96,717.44,130.223,-2.476,10.844,132.377,-0.799,5.507,5338
singapore,1/12/2024,0.498,21.49,25.08,34.28,21.8,5.401,18.39,700.02,383.56,312.67,55.82,774.23,133.38,2.424,5.027,131.802,-0.435,8.213,7561
