date,air_co,air_no2,air_o3,air_pm_10,air_pm_25,air_so2,electricity_exports,electricity_local,electricity_local_commercial,electricity_local_domestic,electricity_losses,electricity_total,ipi_abs_index,ipi_growth_mom_index,ipi_growth_yoy_index,ipi_abs_index_sa,ipi_growth_mom_index_sa,ipi_growth_yoy_index_sa,car_registration
2018-01-01,0.671,0.0078,0.015,19.14,11.43,0.001,109.82,11845.900250366072,9390.080800769996,2455.819449596076,1200.3838057448863,13156.104056110958,113.447,1.264,4.838,109.866,0.013,3.963,47162
2018-02-01,0.677,0.0069,0.024,26.06,16.75,0.0011,101.5,11091.957006488285,8561.415143228729,2530.5418632595533,903.8396245498352,12097.296631038118,101.82,-10.249,2.344,110.83,0.877,2.625,41705
2018-03-01,0.654,0.0074,0.019,24.84,15.61,0.001,103.785,12244.089946954538,9659.320214866322,2584.769732088216,1681.1045460086114,14028.97949296315,112.27,10.264,2.921,111.09,0.235,3.328,49810
2018-04-01,0.682,0.0075,0.019,25.64,16.34,0.001,102.002,12018.584576828398,9340.784016555946,2677.8005602724515,1484.2351117247422,13604.82168855314,108.986,-2.925,4.977,113.036,1.752,5.918,47834
2018-05-01,0.671,0.0076,0.017,22.6,14.54,0.001,142.261,12267.998389828028,9525.937601765225,2742.0607880628045,1524.4233348051807,13934.682724633209,111.631,2.426,3.502,112.183,-0.755,4.32,44598
2018-06-01,0.648,0.0074,0.017,25.88,17.28,0.0011,141.659,11718.327747654244,9090.549881417612,2627.7778662366327,1487.7205001041598,13347.707247758404,111.803,0.154,2.09,112.025,-0.141,2.768,65460
2018-07-01,0.653,0.0096,0.018,30.29,20.63,0.0011,138.707,12549.89113932224,9804.790350016034,2745.1007893062047,1563.615043234959,14252.213182557198,113.269,1.312,2.702,113.033,0.9,2.937,70869
2018-08-01,0.655,0.0077,0.02,36.47,25.84,0.0011,139.507,12523.897610381391,9839.948202785974,2683.949407595416,1679.49331927298,14342.897929654371,112.342,-0.818,1.93,112.136,-0.794,1.217,70506
2018-09-01,0.615,0.0079,0.017,26.97,18.21,0.001,137.718,11959.078381002888,9395.25980619074,2563.818574812149,1262.2555090980593,13359.051890100947,112.364,0.019,2.619,112.151,0.013,1.971,31009
2018-10-01,0.632,0.0076,0.016,22.22,14.5,0.001,132.991,12524.427860172873,9939.99099146087,2584.4368687120027,1424.946917280491,14082.365777453364,117.756,4.799,4.371,113.634,1.322,4.092,46624
2018-11-01,0.636,0.0074,0.016,20.03,12.33,0.001,126.182,12068.57475425387,9530.094915774338,2538.479838479532,1356.2364800555467,13550.993234309415,114.258,-2.971,2.16,112.486,-1.01,1.518,46471
2018-12-01,0.626,0.007,0.015,18.89,11.54,0.0009,132.36,12375.386214747175,9695.131200168214,2680.2550145789623,1222.8287932205408,13730.575007967718,115.97,1.499,3.517,112.405,-0.072,2.324,46946
2019-01-01,0.636,0.0066,0.02,22.26,12.96,0.001,146.324,12551.019664803756,9806.591170539536,2744.42849426422,1411.4888797851077,14108.832544588864,117.74,1.526,3.785,113.451,0.931,3.263,50739
2019-02-01,0.588,0.0063,0.02,23.59,15.23,0.0011,127.714,11566.876328724597,8762.477741368668,2804.3985873559272,922.1813658171612,12616.771694541756,104.275,-11.436,2.412,112.911,-0.476,1.878,38730
2019-03-01,0.669,0.0074,0.023,31.92,23.17,0.0011,146.318,12750.44043299862,10001.938713610458,2748.501719388161,1735.5785410697583,14632.336974068376,116.006,11.249,3.327,114.499,1.406,3.069,55001
2019-04-01,0.644,0.0077,0.019,26.95,18.69,0.001,145.907,12943.806407009228,9984.77257315931,2959.033833849919,1282.0117602990133,14371.72516730824,112.671,-2.874,3.381,116.883,2.082,3.403,51234
2019-05-01,0.627,0.0074,0.017,23.74,15.52,0.001,144.063,12786.932297938523,9955.331262060286,2831.6010358782382,1763.2386625841757,14694.2339605227,116.224,3.153,4.115,117.789,0.775,4.997,63077
2019-06-01,0.585,0.0069,0.016,22.16,14.57,0.001,134.789,12157.910354688142,9325.60742305316,2832.3029316349803,1254.2687411271245,13546.968095815266,115.317,-0.78,3.144,116.009,-1.511,3.556,41501
2019-07-01,0.629,0.0075,0.019,29.98,20.79,0.0011,144.631,12766.752171364002,9924.7516467178,2842.0005246462038,1590.152281251075,14501.535452615077,114.771,-0.474,1.325,115.648,-0.311,2.313,53057
2019-08-01,0.708,0.0076,0.02,42.2,31.74,0.0013,154.706,12730.101089160806,9885.678436813008,2844.4226523477973,1471.9324641237347,14356.73955328454,114.887,0.102,2.265,114.464,-1.024,2.076,52289
2019-09-01,0.888,0.0081,0.022,64.11,52.86,0.0011,148.348,12359.448876536551,9624.753384354068,2734.6954921824845,1460.142479983535,13967.939356520088,114.27,-0.537,1.696,113.614,-0.743,1.304,45404
2019-10-01,0.629,0.0074,0.016,22.39,15.46,0.001,142.979,12544.54287188919,9867.044969501034,2677.497902388157,1416.588468447296,14104.110340336489,118.046,3.305,0.246,113.803,0.166,0.149,54111
2019-11-01,0.633,0.0073,0.016,21.52,13.92,0.001,131.062,12220.807380677976,9579.05358154765,2641.7537991303248,1375.3632414378208,13727.232622115796,116.976,-0.907,2.379,114.874,0.941,2.123,52631
2019-12-01,0.565,0.0061,0.018,19.09,10.95,0.001,130.68,12375.776498279754,9650.754813146164,2725.021685133589,1304.6719090030567,13811.128407282811,117.452,0.407,1.278,113.648,-1.067,1.106,55199
2020-01-01,0.553,0.0059,0.019,21.37,12.62,0.001,129.7,12663.716738107409,9794.372473013062,2869.3442650943457,1402.7434828621688,14196.160220969576,118.547,0.932,0.685,114.191,0.478,0.652,47597
2020-02-01,0.544,0.0057,0.02,23.18,12.93,0.001,145.745,12249.906878283657,9381.811342181763,2868.095536101893,1161.316261117393,13556.968139401051,110.597,-6.706,6.063,118.496,3.77,4.946,43276
