date,country,target,model,forecast_value,actual_value,lower_bound,upper_bound,scenario_id,scenario_variant,predictors,engineered_features,unit,result_type,source_notebook,evaluation_start,evaluation_end,frequency,integration_status,status_message,display_target,notebook_target,official_target,output_scale,display_mode,caveat
2022-01-01,Malaysia,electricity_local,SARIMA,12348.9333812105,12936.4268954378,11288.0761761429,13409.7905862782,univariate_electricity_local,sarima_univariate_2022_test,,seasonal_difference_D1,GWh,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Local electricity consumption,electricity_local,electricity_local,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-02-01,Malaysia,electricity_local,SARIMA,11595.5396923913,11899.2236100619,10194.5782550815,12996.5011297011,univariate_electricity_local,sarima_univariate_2022_test,,seasonal_difference_D1,GWh,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Local electricity consumption,electricity_local,electricity_local,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-03-01,Malaysia,electricity_local,SARIMA,12960.8104000762,13252.140207007,11559.8489627664,14361.7718373859,univariate_electricity_local,sarima_univariate_2022_test,,seasonal_difference_D1,GWh,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Local electricity consumption,electricity_local,electricity_local,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-04-01,Malaysia,electricity_local,SARIMA,12718.1371185984,13132.16827783,11317.1756812887,14119.0985559082,univariate_electricity_local,sarima_univariate_2022_test,,seasonal_difference_D1,GWh,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Local electricity consumption,electricity_local,electricity_local,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-05-01,Malaysia,electricity_local,SARIMA,12675.5614246044,13254.9413927939,11274.5999872947,14076.5228619142,univariate_electricity_local,sarima_univariate_2022_test,,seasonal_difference_D1,GWh,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Local electricity consumption,electricity_local,electricity_local,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-06-01,Malaysia,electricity_local,SARIMA,11100.33158243,13244.1994918195,9699.37014512028,12501.2930197398,univariate_electricity_local,sarima_univariate_2022_test,,seasonal_difference_D1,GWh,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Local electricity consumption,electricity_local,electricity_local,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-07-01,Malaysia,electricity_local,SARIMA,11590.0821151726,13367.9589903887,10189.1206778628,12991.0435524823,univariate_electricity_local,sarima_univariate_2022_test,,seasonal_difference_D1,GWh,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Local electricity consumption,electricity_local,electricity_local,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-08-01,Malaysia,electricity_local,SARIMA,12011.9640667668,13463.7304284844,10611.0026294571,13412.9255040766,univariate_electricity_local,sarima_univariate_2022_test,,seasonal_difference_D1,GWh,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Local electricity consumption,electricity_local,electricity_local,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-09-01,Malaysia,electricity_local,SARIMA,12446.8533504718,13090.5831076155,11045.8919131621,13847.8147877816,univariate_electricity_local,sarima_univariate_2022_test,,seasonal_difference_D1,GWh,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Local electricity consumption,electricity_local,electricity_local,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-10-01,Malaysia,electricity_local,SARIMA,13086.4431190997,13214.6036330228,11685.48168179,14487.4045564095,univariate_electricity_local,sarima_univariate_2022_test,,seasonal_difference_D1,GWh,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Local electricity consumption,electricity_local,electricity_local,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-11-01,Malaysia,electricity_local,SARIMA,12708.1406043095,12934.2765815434,11307.1791669998,14109.1020416193,univariate_electricity_local,sarima_univariate_2022_test,,seasonal_difference_D1,GWh,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Local electricity consumption,electricity_local,electricity_local,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-12-01,Malaysia,electricity_local,SARIMA,12956.1342570638,13041.8754632522,11555.1728197541,14357.0956943736,univariate_electricity_local,sarima_univariate_2022_test,,seasonal_difference_D1,GWh,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Local electricity consumption,electricity_local,electricity_local,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-01-01,Malaysia,air_so2,SARIMA,0.00111508533552459,0.0012,0.000960148492090485,0.00127002217895869,univariate_air_so2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,SO2,air_so2,air_so2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-02-01,Malaysia,air_so2,SARIMA,0.00114238111999548,0.0011,0.0009585275740393,0.00132623466595166,univariate_air_so2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,SO2,air_so2,air_so2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-03-01,Malaysia,air_so2,SARIMA,0.0010275969878538,0.0012,0.000831266981203408,0.00122392699450419,univariate_air_so2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,SO2,air_so2,air_so2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-04-01,Malaysia,air_so2,SARIMA,0.00101797011851366,0.0012,0.000818730860334535,0.00121720937669278,univariate_air_so2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,SO2,air_so2,air_so2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-05-01,Malaysia,air_so2,SARIMA,0.000961701473472366,0.0011,0.000759943577716822,0.00116345936922791,univariate_air_so2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,SO2,air_so2,air_so2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-06-01,Malaysia,air_so2,SARIMA,0.00105761955415711,0.0012,0.000855638927356008,0.00125960018095821,univariate_air_so2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,SO2,air_so2,air_so2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-07-01,Malaysia,air_so2,SARIMA,0.00105496156440676,0.0012,0.000852085638549923,0.0012578374902636,univariate_air_so2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,SO2,air_so2,air_so2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
