date,country,target,model,forecast_value,actual_value,lower_bound,upper_bound,scenario_id,scenario_variant,predictors,engineered_features,unit,result_type,source_notebook,evaluation_start,evaluation_end,frequency,integration_status,status_message,display_target,notebook_target,official_target,output_scale,display_mode,caveat,display_label
2023-01-01,Malaysia,air_no2,VAR,-9.98457203430381e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2023-02-01,Malaysia,air_no2,VAR,-0.000554629580469286,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2023-03-01,Malaysia,air_no2,VAR,-0.000119544850624354,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2023-04-01,Malaysia,air_no2,VAR,-7.58121858219004e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2023-05-01,Malaysia,air_no2,VAR,1.17522824205801e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2023-06-01,Malaysia,air_no2,VAR,-3.1832336390431e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2023-07-01,Malaysia,air_no2,VAR,-3.06353209871357e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2023-08-01,Malaysia,air_no2,VAR,-5.51847213725476e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2023-09-01,Malaysia,air_no2,VAR,-4.64266367946587e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2023-10-01,Malaysia,air_no2,VAR,-4.8876672875045e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2023-11-01,Malaysia,air_no2,VAR,-4.1839148956345e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2023-12-01,Malaysia,air_no2,VAR,-4.25632976997791e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2024-01-01,Malaysia,air_no2,VAR,-4.04818296041002e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2024-02-01,Malaysia,air_no2,VAR,-4.14049306892896e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2024-03-01,Malaysia,air_no2,VAR,-4.07124545752523e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
