date,country,target,model,forecast_value,actual_value,lower_bound,upper_bound,scenario_id,scenario_variant,predictors,engineered_features,unit,result_type,source_notebook,evaluation_start,evaluation_end,frequency
2022-01-01,Malaysia,air_so2,XGBoost,0.001182,0.0012,,,ipi_electricity_to_so2,ipi_growth_yoy_sa_electricity_local_so2_lags,ipi_growth_yoy_index_sa;electricity_local,SO2_lag1;IPI_lag1;elec_lag1;SO2_lag2;IPI_lag2;elec_lag2;SO2_lag3;IPI_lag3;elec_lag3;SO2_roll_mean3;SO2_roll_std3;month,ppm,test_prediction,XGBoost/xgboost_car_forecast.ipynb,2022-01-01,2022-12-01,monthly
2022-02-01,Malaysia,air_so2,XGBoost,0.001107,0.0011,,,ipi_electricity_to_so2,ipi_growth_yoy_sa_electricity_local_so2_lags,ipi_growth_yoy_index_sa;electricity_local,SO2_lag1;IPI_lag1;elec_lag1;SO2_lag2;IPI_lag2;elec_lag2;SO2_lag3;IPI_lag3;elec_lag3;SO2_roll_mean3;SO2_roll_std3;month,ppm,test_prediction,XGBoost/xgboost_car_forecast.ipynb,2022-01-01,2022-12-01,monthly
2022-03-01,Malaysia,air_so2,XGBoost,0.001155,0.0012,,,ipi_electricity_to_so2,ipi_growth_yoy_sa_electricity_local_so2_lags,ipi_growth_yoy_index_sa;electricity_local,SO2_lag1;IPI_lag1;elec_lag1;SO2_lag2;IPI_lag2;elec_lag2;SO2_lag3;IPI_lag3;elec_lag3;SO2_roll_mean3;SO2_roll_std3;month,ppm,test_prediction,XGBoost/xgboost_car_forecast.ipynb,2022-01-01,2022-12-01,monthly
2022-04-01,Malaysia,air_so2,XGBoost,0.001170,0.0012,,,ipi_electricity_to_so2,ipi_growth_yoy_sa_electricity_local_so2_lags,ipi_growth_yoy_index_sa;electricity_local,SO2_lag1;IPI_lag1;elec_lag1;SO2_lag2;IPI_lag2;elec_lag2;SO2_lag3;IPI_lag3;elec_lag3;SO2_roll_mean3;SO2_roll_std3;month,ppm,test_prediction,XGBoost/xgboost_car_forecast.ipynb,2022-01-01,2022-12-01,monthly
2022-05-01,Malaysia,air_so2,XGBoost,0.001102,0.0011,,,ipi_electricity_to_so2,ipi_growth_yoy_sa_electricity_local_so2_lags,ipi_growth_yoy_index_sa;electricity_local,SO2_lag1;IPI_lag1;elec_lag1;SO2_lag2;IPI_lag2;elec_lag2;SO2_lag3;IPI_lag3;elec_lag3;SO2_roll_mean3;SO2_roll_std3;month,ppm,test_prediction,XGBoost/xgboost_car_forecast.ipynb,2022-01-01,2022-12-01,monthly
2022-06-01,Malaysia,air_so2,XGBoost,0.001208,0.0012,,,ipi_electricity_to_so2,ipi_growth_yoy_sa_electricity_local_so2_lags,ipi_growth_yoy_index_sa;electricity_local,SO2_lag1;IPI_lag1;elec_lag1;SO2_lag2;IPI_lag2;elec_lag2;SO2_lag3;IPI_lag3;elec_lag3;SO2_roll_mean3;SO2_roll_std3;month,ppm,test_prediction,XGBoost/xgboost_car_forecast.ipynb,2022-01-01,2022-12-01,monthly
2022-07-01,Malaysia,air_so2,XGBoost,0.001203,0.0012,,,ipi_electricity_to_so2,ipi_growth_yoy_sa_electricity_local_so2_lags,ipi_growth_yoy_index_sa;electricity_local,SO2_lag1;IPI_lag1;elec_lag1;SO2_lag2;IPI_lag2;elec_lag2;SO2_lag3;IPI_lag3;elec_lag3;SO2_roll_mean3;SO2_roll_std3;month,ppm,test_prediction,XGBoost/xgboost_car_forecast.ipynb,2022-01-01,2022-12-01,monthly
2022-08-01,Malaysia,air_so2,XGBoost,0.001196,0.0012,,,ipi_electricity_to_so2,ipi_growth_yoy_sa_electricity_local_so2_lags,ipi_growth_yoy_index_sa;electricity_local,SO2_lag1;IPI_lag1;elec_lag1;SO2_lag2;IPI_lag2;elec_lag2;SO2_lag3;IPI_lag3;elec_lag3;SO2_roll_mean3;SO2_roll_std3;month,ppm,test_prediction,XGBoost/xgboost_car_forecast.ipynb,2022-01-01,2022-12-01,monthly
2022-09-01,Malaysia,air_so2,XGBoost,0.001201,0.0012,,,ipi_electricity_to_so2,ipi_growth_yoy_sa_electricity_local_so2_lags,ipi_growth_yoy_index_sa;electricity_local,SO2_lag1;IPI_lag1;elec_lag1;SO2_lag2;IPI_lag2;elec_lag2;SO2_lag3;IPI_lag3;elec_lag3;SO2_roll_mean3;SO2_roll_std3;month,ppm,test_prediction,XGBoost/xgboost_car_forecast.ipynb,2022-01-01,2022-12-01,monthly
2022-10-01,Malaysia,air_so2,XGBoost,0.001201,0.0012,,,ipi_electricity_to_so2,ipi_growth_yoy_sa_electricity_local_so2_lags,ipi_growth_yoy_index_sa;electricity_local,SO2_lag1;IPI_lag1;elec_lag1;SO2_lag2;IPI_lag2;elec_lag2;SO2_lag3;IPI_lag3;elec_lag3;SO2_roll_mean3;SO2_roll_std3;month,ppm,test_prediction,XGBoost/xgboost_car_forecast.ipynb,2022-01-01,2022-12-01,monthly
