Date,Actual,Predicted,CI_Lower,CI_Upper,Abs_Error,Pct_Error
2021-01-01,35103,56953,42510,71395,21850,62.25
2021-02-01,44413,52527,37630,67425,8114,18.27
2021-03-01,66244,53505,38167,68844,12739,19.23
2021-04-01,60957,57009,41242,72776,3948,6.48
2021-05-01,49507,53360,37176,69545,3853,7.78
2021-06-01,47776,58091,41499,74682,10315,21.59
2021-07-01,8400,63561,46573,80550,55161,656.68
2021-08-01,19152,61923,44546,79299,42771,223.32
2021-09-01,46046,56849,39093,74605,10803,23.46
2021-10-01,67215,60335,42208,78463,6880,10.24
2021-11-01,62887,59957,41465,78449,2930,4.66
2021-12-01,68070,64674,45825,83523,3396,4.99
2022-01-01,44567,58827,38733,78920,14260,32.0
2022-02-01,46100,54921,34332,75510,8821,19.13
2022-03-01,73413,55784,34712,76856,17629,24.01
2022-04-01,61330,58876,37331,80421,2454,4.0
2022-05-01,52934,55656,33648,77664,2722,5.14
2022-06-01,65708,59831,37370,82292,5877,8.94
2022-07-01,53223,64659,41754,87564,11436,21.49
2022-08-01,70450,63213,39872,86553,7237,10.27
2022-09-01,68305,58735,34967,82504,9570,14.01
2022-10-01,64367,61812,37624,86001,2555,3.97
2022-11-01,68150,61478,36877,86079,6672,9.79
2022-12-01,76215,65641,40634,90649,10574,13.87
2023-01-01,53692,60480,34398,86563,6788,12.64
2023-02-01,66163,57033,30433,83634,9130,13.8
2023-03-01,79947,57795,30686,84905,22152,27.71
2023-04-01,51480,60524,32915,88133,9044,17.57
2023-05-01,66651,57682,29583,85781,8969,13.46
2023-06-01,63921,61367,32785,89948,2554,4.0
2023-07-01,67983,65628,36573,94684,2355,3.46
2023-08-01,76619,64352,34830,93874,12267,16.01
2023-09-01,69020,60400,30419,90381,8620,12.49
2023-10-01,79464,63115,32682,93549,16349,20.57
2023-11-01,76750,62821,31941,93700,13929,18.15
2023-12-01,80657,66495,35176,97813,14162,17.56
2024-01-01,70186,61940,29664,94216,8246,11.75
2024-02-01,66935,58898,26090,91705,8037,12.01
2024-03-01,75067,59570,26240,92900,15497,20.64
2024-04-01,63527,61979,28134,95823,1548,2.44
2024-05-01,73901,59470,25119,93822,14431,19.53
2024-06-01,61208,62722,27872,97573,1514,2.47
2024-07-01,77027,66483,31140,101827,10544,13.69
2024-08-01,76075,65357,29528,101185,10718,14.09
2024-09-01,61075,61869,25561,98177,794,1.3
2024-10-01,75044,64266,27485,101046,10778,14.36
2024-11-01,71818,64005,26758,101253,7813,10.88
2024-12-01,84429,67248,29539,104957,17181,20.35
2025-01-01,53930,63228,24648,101809,9298,17.24
2025-02-01,67327,60543,21427,99660,6784,10.08
2025-03-01,77121,61137,21491,100782,15984,20.73
2025-04-01,65200,63263,23095,103430,1937,2.97
2025-05-01,74393,61049,20366,101731,13344,17.94
2025-06-01,58858,63919,22727,105110,5061,8.6
2025-07-01,75663,67238,25544,108932,8425,11.13
2025-08-01,78978,66244,24053,108434,12734,16.12
2025-09-01,62598,63166,20484,105847,568,0.91
2025-10-01,81413,65281,22114,108448,16132,19.82
2025-11-01,77876,65051,21405,108698,12825,16.47
2025-12-01,75663,67913,23792,112034,7750,10.24
2026-01-01,67995,64365,19440,109291,3630,5.34
2026-02-01,56690,61996,16534,107457,5306,9.36
2026-03-01,67846,62519,16528,108511,5327,7.85
2026-04-01,77869,64396,17880,110911,13473,17.3
