Date,Actual,Predicted,CI_Lower,CI_Upper,Abs_Error,Pct_Error
2022-01-01,44567,53765.37670909913,27717.63592054432,79813.11749765395,9198.376709099131,20.64
2022-02-01,46100,45673.79196614008,15048.769512746014,76298.81441953414,426.20803385991894,0.92
2022-03-01,73413,40453.3736896934,8861.687893327573,72045.05948605922,32959.6263103066,44.9
2022-04-01,61330,41849.42980634481,10037.03910975374,73661.82050293588,19480.570193655192,31.76
2022-05-01,52934,45382.70472570004,12719.912055030392,78045.49739636968,7551.295274299962,14.27
2022-06-01,65708,48887.0022800372,15603.522717198437,82170.48184287598,16820.997719962797,25.6
2022-07-01,53223,50370.42129300318,17007.615969661252,83733.22661634511,2852.578706996821,5.36
2022-08-01,70450,50018.14107976282,16635.2181851025,83401.06397442313,20431.85892023718,29.0
2022-09-01,68305,48709.74622964279,15219.982638962028,82199.50982032355,19595.25377035721,28.69
2022-10-01,64367,47522.003582610734,13960.844475467056,81083.16268975442,16844.996417389266,26.17
2022-11-01,68150,46995.29740651233,13424.422518589054,80566.1722944356,21154.702593487673,31.04
2022-12-01,76215,47130.43193560076,13556.906587292957,80703.95728390856,29084.56806439924,38.16
