Date,Car_Registrations
2000-01,26064
2000-02,23929
2000-03,32057
2000-04,29513
2000-05,31176
2000-06,28886
2000-07,31756
2000-08,32418
2000-09,28182
2000-10,31519
2000-11,32533
2000-12,29658
2001-01,27833
2001-02,30193
2001-03,31811
2001-04,31846
2001-05,33632
2001-06,32362
2001-07,35870
2001-08,38504
2001-09,35424
2001-10,41428
2001-11,39502
2001-12,29658
2002-01,41605
2002-02,30961
2002-03,36551
2002-04,39497
2002-05,39151
2002-06,35586
2002-07,42242
2002-08,42130
2002-09,33920
2002-10,40508
2002-11,37991
2002-12,27017
2003-01,45834
2003-02,25726
2003-03,36679
2003-04,35887
2003-05,34380
2003-06,34453
2003-07,41196
2003-08,39000
2003-09,35913
2003-10,37795
2003-11,33853
2003-12,31339
2004-01,34869
2004-02,29907
2004-03,41980
2004-04,40887
2004-05,37300
2004-06,45486
2004-07,48951
2004-08,41275
2004-09,43731
2004-10,44911
2004-11,36170
2004-12,43826
2005-01,43228
2005-02,36340
2005-03,48914
2005-04,44511
2005-05,45496
2005-06,49374
2005-07,46655
2005-08,51747
2005-09,51200
2005-10,59037
2005-11,39119
2005-12,50988
2006-01,39631
2006-02,33498
2006-03,44882
2006-04,39434
2006-05,43020
2006-06,41137
2006-07,39453
2006-08,46227
2006-09,41659
2006-10,35222
2006-11,35220
2006-12,36131
2007-01,34954
2007-02,31548
2007-03,37051
2007-04,32294
2007-05,38568
2007-06,42581
2007-07,44780
2007-08,47830
2007-09,43918
2007-10,42618
2007-11,43506
2007-12,41057
2008-01,46399
2008-02,38001
2008-03,45969
2008-04,50596
2008-05,49301
2008-06,49683
2008-07,55595
2008-08,45110
2008-09,52606
2008-10,36690
2008-11,40529
2008-12,40672
2009-01,39704
2009-02,36240
2009-03,45049
2009-04,41455
2009-05,44732
2009-06,45241
2009-07,52201
2009-08,49133
2009-09,46880
2009-10,46121
2009-11,45334
2009-12,47131
2010-01,51515
2010-02,40917
2010-03,57097
2010-04,48538
2010-05,51550
2010-06,54587
2010-07,53037
2010-08,55481
2010-09,44203
2010-10,52148
2010-11,43920
2010-12,55651
2011-01,58616
2011-02,39538
2011-03,64254
2011-04,51263
2011-05,46500
2011-06,42839
2011-07,50015
2011-08,60652
2011-09,43624
2011-10,53954
2011-11,48669
2011-12,47661
2012-01,43013
2012-02,44059
2012-03,54419
2012-04,48090
2012-05,59174
2012-06,56539
2012-07,60340
2012-08,53496
2012-09,45910
2012-10,54921
2012-11,52341
2012-12,60792
2013-01,58009
2013-02,46309
2013-03,58043
2013-04,54353
2013-05,49135
2013-06,53618
2013-07,71463
2013-08,52160
2013-09,54230
2013-10,56601
2013-11,52037
2013-12,58781
2014-01,56314
2014-02,48463
2014-03,58668
2014-04,60525
2014-05,56706
2014-06,58139
2014-07,64439
2014-08,50883
2014-09,48671
2014-10,56224
2014-11,53411
2014-12,64850
2015-01,53772
2015-02,52362
2015-03,69663
2015-04,44775
2015-05,51734
2015-06,58296
2015-07,60519
2015-08,53678
2015-09,51782
2015-10,56309
2015-11,55900
2015-12,69325
2016-01,47787
2016-02,38461
2016-03,50055
2016-04,42713
2016-05,44801
2016-06,58726
2016-07,42866
2016-08,52977
2016-09,48775
2016-10,48321
2016-11,48838
2016-12,63806
2017-01,46231
2017-02,42430
2017-03,54982
2017-04,42555
2017-05,51247
2017-06,51489
2017-07,48070
2017-08,52707
2017-09,40291
2017-10,46923
2017-11,49145
2017-12,53561
2018-01,47162
2018-02,41705
2018-03,49810
2018-04,47834
2018-05,44598
2018-06,65460
2018-07,70869
2018-08,70506
2018-09,31009
2018-10,46624
2018-11,46471
2018-12,46946
2019-01,50739
2019-02,38730
2019-03,55001
2019-04,51234
2019-05,63077
2019-06,41501
2019-07,53057
2019-08,52289
2019-09,45404
2019-10,54111
2019-11,52631
2019-12,55199
2020-01,47597
2020-02,43276
2020-03,23044
2020-04,129
2020-05,24399
2020-06,46599
2020-07,62423
2020-08,55667
2020-09,60204
2020-10,59513
2020-11,59025
2020-12,70483
2021-01,35103
2021-02,44413
2021-03,66244
2021-04,60957
2021-05,49507
2021-06,2063
2021-07,8400
2021-08,19152
2021-09,46046
2021-10,67215
2021-11,62887
2021-12,68070
2022-01,44567
2022-02,46100
2022-03,73413
2022-04,61330
2022-05,52934
2022-06,65708
2022-07,53223
2022-08,70450
2022-09,68305
2022-10,64367
2022-11,68150
2022-12,76215
2023-01,53692
2023-02,66163
2023-03,79947
2023-04,51480
2023-05,66651
2023-06,63921
2023-07,67983
2023-08,76619
2023-09,69020
2023-10,79464
2023-11,76750
2023-12,80657
2024-01,70186
2024-02,66935
2024-03,75067
2024-04,63527
2024-05,73901
2024-06,61208
2024-07,77027
2024-08,76075
2024-09,61075
2024-10,75044
2024-11,71818
2024-12,84429
2025-01,53930
2025-02,67327
2025-03,77121
2025-04,65200
2025-05,74393
2025-06,58858
2025-07,75663
2025-08,78978
2025-09,62598
2025-10,81413
2025-11,77876
2025-12,96970
2026-01,67995
2026-02,56690
2026-03,67846
2026-04,77869
