,car_registration,electricity_local,d_air_no2
2023-01-01,61007.077271473456,12810.970357067396,-9.984572034303814e-05
2023-02-01,54826.880978940695,12631.364451537669,-0.0005546295804692864
2023-03-01,49517.92617857031,12486.338375820957,-0.0001195448506243538
2023-04-01,50823.40765316623,12532.432099360894,-7.581218582190037e-05
2023-05-01,51171.85034564785,12511.332393483004,1.1752282420580051e-05
2023-06-01,52364.69318674636,12538.784057763012,-3.1832336390431e-05
2023-07-01,52187.36903651869,12520.981421641458,-3.0635320987135737e-05
2023-08-01,52214.77517745903,12520.444437417616,-5.518472137254764e-05
2023-09-01,51885.8421487304,12506.995534224929,-4.642663679465869e-05
2023-10-01,51843.82456046414,12505.068434227811,-4.887667287504496e-05
2023-11-01,51743.57245466566,12499.704544808861,-4.1839148956344984e-05
2023-12-01,51764.88738275171,12499.204650627433,-4.256329769977913e-05
2024-01-01,51738.035071402366,12496.86029138339,-4.048182960410024e-05
2024-02-01,51742.67253614888,12496.231021529702,-4.140493068928962e-05
2024-03-01,51721.90449709527,12494.816662724257,-4.071245457525226e-05
2024-04-01,51716.2181088682,12494.218387947645,-4.097840799444541e-05
2024-05-01,51703.82622173503,12493.420402751557,-4.0526565965524376e-05
2024-06-01,51700.05449177274,12493.039337557071,-4.052367568417332e-05
2024-07-01,51694.37483996025,12492.616741872269,-4.0288858925264766e-05
2024-08-01,51692.280392136265,12492.384554969842,-4.027286948617278e-05
2024-09-01,51689.29194190484,12492.147608730138,-4.0170303323316297e-05
2024-10-01,51687.7821729087,12492.000619590148,-4.015590307674039e-05
2024-11-01,51686.019008883406,12491.862990269596,-4.010359914106043e-05
2024-12-01,51685.00699477448,12491.77213147583,-4.008782148607801e-05
