,ipi_abs_index,electricity_local,d_air_so2
2023-01-01,125.82873569925091,12974.063242118744,-1.2146325748199157e-05
2023-02-01,122.74748970468126,12749.971284770927,1.0606822535179872e-05
2023-03-01,120.81256756920877,12658.62414378736,4.55020975667297e-06
2023-04-01,119.5893649566777,12592.998829330007,5.065137219716268e-06
2023-05-01,118.8252156708893,12554.227396853508,4.450362313696527e-06
2023-06-01,118.34733709536913,12529.609255990348,4.265396741531798e-06
2023-07-01,118.04887677421213,12514.334962240084,4.106605156741101e-06
2023-08-01,117.86244424484681,12504.77636674499,4.01664328037921e-06
2023-09-01,117.74600674632222,12498.81109104692,3.958457011252075e-06
2023-10-01,117.67328353782298,12495.084541037111,3.922542717859456e-06
2023-11-01,117.62786365766354,12492.757303350523,3.900019692190979e-06
2023-12-01,117.59949621939934,12491.30376511721,3.885972474798883e-06
2024-01-01,117.581779086855,12490.395954652231,3.877194887467549e-06
2024-02-01,117.57071369235835,12489.828971645124,3.871713680871809e-06
2024-03-01,117.56380270217828,12489.474857823665,3.868290147097805e-06
2024-04-01,117.55948638183477,12489.25369280419,3.86615199096752e-06
2024-05-01,117.5567905856662,12489.115562249073,3.8648165774469786e-06
2024-06-01,117.55510690224051,12489.029291580831,3.863982535037244e-06
2024-07-01,117.55405534281515,12488.975410470299,3.8634616260260055e-06
2024-08-01,117.55339858204353,12488.94175854434,3.863136287770592e-06
2024-09-01,117.55298839627504,12488.920740935375,3.8629330948563426e-06
2024-10-01,117.55273221111302,12488.90761420116,3.862806188922664e-06
2024-11-01,117.55257220839651,12488.899415782813,3.862726928694604e-06
2024-12-01,117.55247227727993,12488.894295387874,3.8626774260159415e-06
