,d_air_no2,air_pm_25
2023-01-01,6.038226669935724e-05,12.659247406763203
2023-02-01,-3.2695356966498256e-06,13.782184768615165
2023-03-01,-4.930225034687196e-06,14.300240335834232
2023-04-01,-8.660132505018881e-06,14.551037142490788
2023-05-01,-1.0152812288502812e-05,14.671204892709202
2023-06-01,-1.0899523820489241e-05,14.728907930320528
2023-07-01,-1.1254881761390653e-05,14.756603449458291
2023-08-01,-1.1425766685788105e-05,14.769897661899089
2023-09-01,-1.150776069322904e-05,14.776278926891337
2023-10-01,-1.1547121431542328e-05,14.779341968069922
2023-11-01,-1.1566014455554623e-05,14.78081224279402
2023-12-01,-1.1575083233855474e-05,14.78151798197905
2024-01-01,-1.157943628907154e-05,14.78185674028634
2024-02-01,-1.1581525777509715e-05,14.78201934595454
2024-03-01,-1.1582528742290645e-05,14.782097397481877
2024-04-01,-1.1583010170364321e-05,14.782134862602184
2024-05-01,-1.1583241258227521e-05,14.782152846045783
2024-06-01,-1.1583352181548221e-05,14.78216147818792
2024-07-01,-1.1583405425292406e-05,14.782165621658965
2024-08-01,-1.1583430982553737e-05,14.782167610545622
2024-09-01,-1.158344325016597e-05,14.782168565221085
2024-10-01,-1.1583449138680702e-05,14.782169023470042
2024-11-01,-1.1583451965196972e-05,14.782169243431813
2024-12-01,-1.1583453321938798e-05,14.782169349014556
